学校名称,是否填写,是否可修改,填报时间,填报账号/手机号,对应学院/项目,网站状态,最早截止,填报入口,备注
北京大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
北京航空航天大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
北京交通大学,☐ 否,待确认,,,计算机科学与技术学院,待复核,,https://gsadmission.bjtu.edu.cn/recommend/signin/,本次未定位到2027学院原文，只保留往年学院办法作材料准备参考。
北京科技大学,☐ 否,待确认,,,计算机与通信工程学院,已截止,2026-08-30,http://yjsy.ustb.edu.cn/ksxt,学院官方通知明确即日起至2026-08-30 23:59；8月31已截止，但信息完整，可用于核对后续正式推免。
北京理工大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
北京师范大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
北京邮电大学,☐ 否,待确认,,,计算机学院（国家示范性软件学院）；网络空间安全学院；人工智能学院,正在报名,2026-09-10,https://yzfs.bupt.edu.cn/MasterTm/Signin.aspx,北邮研招官方汇总列出人工智能学院2027实施细则入口。
重庆大学,☐ 否,待确认,,,计算机学院、软件学院、大数据与软件学院等计算机相关单位,正在报名,2026-09-30,http://syk.cqu.edu.cn,校级官方预报名系统开放至2026-09-30 18:00；各学院具体起止时间以系统和学院通知为准。
大连理工大学,☐ 否,待确认,,,计算机科学与技术学院；人工智能学院；软件学院（开发区校区）,正在报名,2026-09-07,https://yjszs.dlut.edu.cn/zsbm/logon,大连理工官方汇总已列出计算机科学与技术学院时间：2026-07-13 09:00至2026-09-07 09:00。
电子科技大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
东北大学,☐ 否,待确认,,,计算机科学与工程学院/软件学院等,待复核,,https://yz.neu.edu.cn,校级办法已出，学院截止时间需进系统或学院通知确认。
东南大学,☐ 否,待确认,,,计算机科学与工程学院、软件学院；网络空间安全学院；雷恩研究生学院,已截止,2026-08-08,https://gsas.seu.edu.cn/logon,计算机学院通知列表已发布雷恩研究生学院计算机技术专业2027推免报名通知。
复旦大学,☐ 否,待确认,,,研究生院/计算机相关院系,待复核,,https://gsas.fudan.edu.cn/logon,学校级入口已定位，计算机相关院系原文与截止时间需在系统内继续核验。
国防科技大学,☐ 否,待确认,,,计算机学院、智能科学学院等,待复核,,http://yjszs.nudt.edu.cn,学校方案明确有意申报2027级推免必须先通过国防科大报名系统预报名；只写7月-9月，未给统一截止日，需进系统和联系学院确认。
哈尔滨工程大学,☐ 否,待确认,,,计算机科学与技术学院,待复核,,https://yzb.hrbeu.edu.cn,学院官网标题确认是2027预报名前信息发布，但正文未稳定公开提取；先列待复核，避免误导。
哈尔滨工业大学,☐ 否,待确认,,,计算学部,已截止,2026-08-24,http://yzb.hit.edu.cn,已截止。计算学部和你的 CS 背景高度匹配，后续正式推免系统开放时仍可关注是否补录/追加通知。
合肥工业大学,☐ 否,待确认,,,计算机与信息学院（人工智能学院）等,正在报名,2026-09-15,https://yjszs.hfut.edu.cn,校级官方通知明确 2026-08-26 09:00 至 2026-09-15 17:00；计算机与信息学院需继续关注学院复试安排。
河海大学,☐ 否,待确认,,,计算机与软件学院、人工智能与自动化学院,待复核,,https://gs.hhu.edu.cn,官方公告正文抓取很少，不能写死截止时间；列入待复核但保留入口。
湖南大学,☐ 否,待确认,,,计算机学院,待复核,,https://yjszsxt.hnu.edu.cn/zsxt/tmsgl/default.aspx,学院官方通知已发布，8月28日后可在湖南大学接收推免生报名信息采集系统提交；学院未写固定截止日，需进系统确认。
华北电力大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
华东师范大学,☐ 否,待确认,,,计算机科学与技术学院；信息与电子工程学院（集成电路科学与工程学院）,正在报名,2026-09-05,https://yjszs-ks.ecnu.edu.cn/logon?zsxm=5,官方页已发布但抓取正文不稳定；截止时间来自同批汇总线索，填报前进系统再确认。
华中科技大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
吉林大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
兰州大学,☐ 否,待确认,,,,未定位,,,未定位到2027计算机类预推免学院原文。
